reference,year,sample,method,geological_unit,hue_domain,T,T_error,T_min,T_max,P,P_error,P_min,P_max,age,age_error,age_intepretation,age_method,plot_Tt,plot_PT
Munha_et_al_2005,2005,-,GOSP+GASP+(Grt+Crd+Sil+Qtz)+grid,Paraíba do Sul Complex,eastern,820,30,790,850,6.5,0.5,6,7,530,27,peak,Rb/Sr whole-rock,TRUE,TRUE
Queiroga_et_al_2006,2006,T123A,THERMOCALC,Ribeirao da Folha Fm.,western mylonitic,534,11,523,545,4.9,0.1,4.8,5,,,peak,,,TRUE
Queiroga_et_al_2006,2006,T191Xa,THERMOCALC,Ribeirao da Folha Fm.,western mylonitic,530,15,515,545,5.3,0.2,5.1,5.5,,,peak,,,TRUE
Queiroga_et_al_2006,2006,Q-14,THERMOCALC,Ribeirao da Folha Fm.,western mylonitic,602,10,592,612,,,,,,,peak,,,
,,,,,,,,,,,,,,,,,,,
Belém_2006,2006,J23,THERMOCALC,Macaúba Gorup,eastern,705,,,,,,,,,,peak (?),,,
Belém_2006,2006,J16,grt-bt thermometer - TWEEQU,Suite G2(?),eastern,860,,,,,,,,,,peak (?),,,
Belém_2006,2006,J21,grt-bt thermometer - TWEEQU,Jequitinhonha Complex,eastern,630,,,,,,,,,,peak (?),,,
Belém_2006,2006,J4,THERMOCALC,Jequitinhonha Complex,eastern,791,42,749,833,4.98,0.45,4.53,5.43,,,peak (?),,,TRUE
Belém_2006,2006,J13B,THERMOCALC,Jequitinhonha Complex,eastern,800,47,753,847,5.2,0.48,4.72,5.68,,,peak (?),,,TRUE
Belém_2006,2006,J10,grt-bt thermometer - TWEEQU,Jequitinhonha Complex,eastern,850,,,,,,,,,,peak (?),,,
Belém_2006,2006,J24,THERMOCALC,Jequitinhonha Complex,eastern,831,42,789,873,5.94,0.47,5.47,6.41,,,decompression,,,TRUE
Belém_2006,2006,J25,THERMOCALC,Jequitinhonha Complex,eastern,841,46,795,887,6.56,0.52,6.04,7.08,,,peak (?),,,TRUE
Belém_2006,2006,J26,THERMOCALC,Jequitinhonha Complex,eastern,917,52,865,969,7.35,0.61,6.74,7.96,,,peak (?),,,TRUE
Belém_2006,2006,J27,THERMOCALC,Jequitinhonha Complex,eastern,893,52,841,945,6.66,0.56,6.1,7.22,,,peak (?),,,TRUE
